userID,1,2,3,4,5,6,7,8
25411600,d17,,,,,,,
25864227,d2,,,,,,,
34192482,d17,d17,d20,,,,,
35743341,d8,,,,,,,
36181479,d25,d26,d28,,,,,
36201092,d3,d4,,,,,,
36826029,d33,,,,,,,
37166767,d17,,,,,,,
37741931,d32,d32,d32,,,,,
39642854,d17,d20,d22,,,,,
39764508,d10,,,,,,,
40619580,d3,d8,d17,d20,,,,
40777535,d8,d39,,,,,,
41414773,d8,,,,,,,
41841934,d3,d4,d8,,,,,
42082819,d17,,,,,,,
42262643,d21,,,,,,,
42395271,d43,d44,d45,,,,,
42674062,d17,d19,,,,,,
43055814,d3,d29,d35,,,,,
43509684,d3,d8,d8,d51,d52,,,
43626682,d3,d3,d6,d8,,,,
43631771,d17,d20,d38,d39,,,,
43663333,d17,d20,d39,d46,d47,d48,d49,d50
