userID,queryID,queryterm,query_time,click_time,rank,url,title,desc,urlid,active_time
25864227,1139,orcas island,2017-07-26 08:37:11.0,2017-07-26 08:37:26.0,6.0,http://en.wikipedia.org/wiki/Orcas_Island,<b>Orcas Island</b> - Wikipedia,"History and naming of the <b>island</b>. The name &quot;<b>Orcas</b>&quot; is a shortened form of Horcasitas, or Juan Vicente de Güemes Padilla Horcasitas y Aguayo, 2nd Count of ...",d1,2.4814333333333334
34394876,1113,orcas island,2017-07-26 08:27:44.0,2017-07-26 08:38:02.0,6.0,http://en.wikipedia.org/wiki/Orcas_Island,<b>Orcas Island</b> - Wikipedia,"History and naming of the <b>island</b>. The name &quot;<b>Orcas</b>&quot; is a shortened form of Horcasitas, or Juan Vicente de Güemes Padilla Horcasitas y Aguayo, 2nd Count of ...",d1,1.8054666666666668
43719192,1124,orcas island location,2017-07-26 08:32:07.0,2017-07-26 08:33:03.0,1.0,http://en.wikipedia.org/wiki/Orcas_Island,<b>Orcas Island</b> - <b>Wikipedia</b>,<b>Location</b> of <b>Orcas Island</b> in the San Juan <b>Islands</b>. ... the Viceroy of Mexico who sent an exploration expedition under Francisco de Eliza to the <b>Pacific Northwest</b> in ...,d1,0.1148
40619580,1093,"orcas island is located in florida, usa",2017-07-26 08:18:40.0,2017-07-26 08:18:51.0,1.0,http://en.wikipedia.org/wiki/Orcas_Island,<b>Orcas Island</b> - <b>Wikipedia</b>,<b>Location</b> of <b>Orcas Island</b> in the San Juan <b>Islands</b>. ... <b>United States</b>. State: ... Henry Kellett assigned the name <b>Orcas</b> to <b>Orcas Island</b> during his reorganization of the ...,d1,0.49535
40861787,1123,orcas island washington,2017-07-26 08:31:46.0,2017-07-26 08:31:58.0,2.0,http://en.wikipedia.org/wiki/Orcas_Island,<b>Orcas Island</b> - Wikipedia,"This article includes a list of references, but its sources remain unclear because it has insufficient inline citations. ... Location of <b>Orcas Island</b> in the San Juan ...",d1,0.10955
11582908,1098,orcas island,2017-07-26 08:21:08.0,2017-07-26 08:21:16.0,6.0,http://en.wikipedia.org/wiki/Orcas_Island,<b>Orcas Island</b> - Wikipedia,"History and naming of the <b>island</b>. The name &quot;<b>Orcas</b>&quot; is a shortened form of Horcasitas, or Juan Vicente de Güemes Padilla Horcasitas y Aguayo, 2nd Count of ...",d1,0.3701
11582908,1098,orcas island,2017-07-26 08:21:08.0,2017-07-26 08:25:12.0,6.0,http://en.wikipedia.org/wiki/Orcas_Island,<b>Orcas Island</b> - Wikipedia,"History and naming of the <b>island</b>. The name &quot;<b>Orcas</b>&quot; is a shortened form of Horcasitas, or Juan Vicente de Güemes Padilla Horcasitas y Aguayo, 2nd Count of ...",d1,0.8545
11582908,1098,orcas island,2017-07-26 08:21:08.0,2017-07-26 08:30:11.0,6.0,http://en.wikipedia.org/wiki/Orcas_Island,<b>Orcas Island</b> - Wikipedia,"History and naming of the <b>island</b>. The name &quot;<b>Orcas</b>&quot; is a shortened form of Horcasitas, or Juan Vicente de Güemes Padilla Horcasitas y Aguayo, 2nd Count of ...",d1,0.016166666666666666
41335577,1140,orcas,2017-07-26 08:37:12.0,2017-07-26 08:37:18.0,6.0,http://en.wikipedia.org/wiki/Orcas_Island,<b>Orcas Island</b> - <b>Wikipedia</b>,"History and naming of the island. The name &quot;<b>Orcas</b>&quot; is a shortened form of Horcasitas, or Juan Vicente de Güemes Padilla Horcasitas y Aguayo, 2nd Count of ...",d1,1.4210166666666666
37660122,1092,orcas island,2017-07-26 08:18:33.0,2017-07-26 08:18:48.0,6.0,http://en.wikipedia.org/wiki/Orcas_Island,<b>Orcas Island</b> - Wikipedia,"History and naming of the <b>island</b>. The name &quot;<b>Orcas</b>&quot; is a shortened form of Horcasitas, or Juan Vicente de Güemes Padilla Horcasitas y Aguayo, 2nd Count of ...",d1,1.9564666666666666
43626682,1110,orcas island,2017-07-26 08:26:51.0,2017-07-26 08:27:21.0,6.0,http://en.wikipedia.org/wiki/Orcas_Island,<b>Orcas Island</b> - Wikipedia,"History and naming of the <b>island</b>. The name &quot;<b>Orcas</b>&quot; is a shortened form of Horcasitas, or Juan Vicente de Güemes Padilla Horcasitas y Aguayo, 2nd Count of ...",d1,0.6090166666666667
37114649,1149,orcas island wiki,2017-07-26 08:39:08.0,2017-07-26 08:39:11.0,1.0,http://en.wikipedia.org/wiki/Orcas_Island,<b>Orcas Island</b> - <b>Wikipedia</b>,"This article includes a list of references, but its sources remain unclear because it has insufficient inline citations. ... Location of <b>Orcas Island</b> in the San Juan ...",d1,1.2039333333333333
35196805,1142,orcas island,2017-07-26 08:37:25.0,2017-07-26 08:37:33.0,6.0,http://en.wikipedia.org/wiki/Orcas_Island,<b>Orcas Island</b> - Wikipedia,"History and naming of the <b>island</b>. The name &quot;<b>Orcas</b>&quot; is a shortened form of Horcasitas, or Juan Vicente de Güemes Padilla Horcasitas y Aguayo, 2nd Count of ...",d1,1.7777833333333333
36268643,1146,orcas island,2017-07-26 08:38:45.0,2017-07-26 08:39:09.0,6.0,http://en.wikipedia.org/wiki/Orcas_Island,<b>Orcas Island</b> - Wikipedia,"History and naming of the <b>island</b>. The name &quot;<b>Orcas</b>&quot; is a shortened form of Horcasitas, or Juan Vicente de Güemes Padilla Horcasitas y Aguayo, 2nd Count of ...",d1,2.825616666666667
41571219,1173,orcas island,2017-07-26 09:06:03.0,2017-07-26 09:07:17.0,6.0,http://en.wikipedia.org/wiki/Orcas_Island,<b>Orcas Island</b> - Wikipedia,"History and naming of the <b>island</b>. The name &quot;<b>Orcas</b>&quot; is a shortened form of Horcasitas, or Juan Vicente de Güemes Padilla Horcasitas y Aguayo, 2nd Count of ...",d1,0.20443333333333333
